map_type,step,V_A,V_B,exact_V_A_star,exact_V_B_star,abs_err_A,abs_err_B
one_step,0,0.3000000000000000,0.7000000000000000,0.7792207792207794,0.2597402597402599,4.7922077922077938e-01,4.4025974025974002e-01
one_step,1,0.4050000000000000,0.7150000000000001,0.7792207792207794,0.2597402597402599,3.7422077922077934e-01,4.5525974025974014e-01
one_step,2,0.3922500000000000,0.6152500000000001,0.7792207792207794,0.2597402597402599,3.8697077922077938e-01,3.5550974025974014e-01
one_step,3,0.4770375000000000,0.6273625000000000,0.7792207792207794,0.2597402597402599,3.0218327922077937e-01,3.6762224025974011e-01
one_step,4,0.4667418750000000,0.5468143750000001,0.7792207792207794,0.2597402597402599,3.1247890422077940e-01,2.8707411525974014e-01
one_step,5,0.5352077812500000,0.5565952187500001,0.7792207792207794,0.2597402597402599,2.4401299797077936e-01,2.9685495900974013e-01
one_step,6,0.5268940640624999,0.4915526078125000,0.7792207792207794,0.2597402597402599,2.5232671515827942e-01,2.3181234807224005e-01
one_step,7,0.5821802833593750,0.4994506391406250,0.7792207792207794,0.2597402597402599,1.9704049586140437e-01,2.3971037940036510e-01
one_step,8,0.5754669567304687,0.4469287308085937,0.7792207792207794,0.2597402597402599,2.0375382249031071e-01,1.8718847106833381e-01
one_step,9,0.6201105788126953,0.4533063911060548,0.7792207792207794,0.2597402597402599,1.5911020040808410e-01,1.9356613136579481e-01
one_step,10,0.6146895675598535,0.4108949501279395,0.7792207792207794,0.2597402597402599,1.6453121166092588e-01,1.5115469038767959e-01
one_step,11,0.6507392923912514,0.4160449108181392,0.7792207792207794,0.2597402597402599,1.2848148682952798e-01,1.5630465107787928e-01
one_step,12,0.6463618258045817,0.3817976722283112,0.7792207792207794,0.2597402597402599,1.3285895341619769e-01,1.2205741248805124e-01
one_step,13,0.6754719786059356,0.3859562654856474,0.7792207792207794,0.2597402597402599,1.0374880061484382e-01,1.2621600574538749e-01
one_step,14,0.6719371743371997,0.3583016203243613,0.7792207792207794,0.2597402597402599,1.0728360488357969e-01,9.8561360584101365e-02
one_step,15,0.6954436227242928,0.3616596843796603,0.7792207792207794,0.2597402597402599,8.3777156496486538e-02,1.0191942463940040e-01
one_step,16,0.6925892682772887,0.3393285584119219,0.7792207792207794,0.2597402597402599,8.6631510943490642e-02,7.9588298671661950e-02
one_step,17,0.7115707253498664,0.3420401951365757,0.7792207792207794,0.2597402597402599,6.7650053870912941e-02,8.2299935396315749e-02
one_step,18,0.7092658341339106,0.3240078109176269,0.7792207792207794,0.2597402597402599,6.9954945086868725e-02,6.4267551177366933e-02
one_step,19,0.7245933607200172,0.3261974575727850,0.7792207792207794,0.2597402597402599,5.4627418500762137e-02,6.6457197832525017e-02
one_step,20,0.7227321610631328,0.3116363073159837,0.7792207792207794,0.2597402597402599,5.6488618157646608e-02,5.1896047575723747e-02
one_step,21,0.7351091387814139,0.3134044469900239,0.7792207792207794,0.2597402597402599,4.4111640439365440e-02,5.3664187249763962e-02
one_step,22,0.7336062200584796,0.3016463181576567,0.7792207792207794,0.2597402597402599,4.5614559162299728e-02,4.1906058417396808e-02
one_step,23,0.7436006295659918,0.3030740909444444,0.7792207792207794,0.2597402597402599,3.5620149654787547e-02,4.3333831204184436e-02
one_step,24,0.7423870226972222,0.2935794019123078,0.7792207792207794,0.2597402597402599,3.6833756523557137e-02,3.3839142172047865e-02
one_step,25,0.7504575083745384,0.2947323284376389,0.7792207792207794,0.2597402597402599,2.8763270846240974e-02,3.4992068697378920e-02
one_step,26,0.7494775208280070,0.2870653670441886,0.7792207792207794,0.2597402597402599,2.9743258392772365e-02,2.7325107303928675e-02
one_step,27,0.7559944380124397,0.2879963552133934,0.7792207792207794,0.2597402597402599,2.3226341208339663e-02,2.8256095473133458e-02
one_step,28,0.7552030980686156,0.2818052838881823,0.7792207792207794,0.2597402597402599,2.4017681152163739e-02,2.2065024147922330e-02
one_step,29,0.7604655086950451,0.2825570568348151,0.7792207792207794,0.2597402597402599,1.8755270525734224e-02,2.2816797094555197e-02
one_step,30,0.7598265016904071,0.2775577667397071,0.7792207792207794,0.2597402597402599,1.9394277530372261e-02,1.7817506999447175e-02
two_step,0,0.3000000000000000,0.7000000000000000,0.7792207792207794,0.2597402597402599,4.7922077922077938e-01,4.4025974025974002e-01
two_step,1,0.3922500000000000,0.6152500000000000,0.7792207792207794,0.2597402597402599,3.8697077922077938e-01,3.5550974025974003e-01
two_step,2,0.4667418750000000,0.5468143750000001,0.7792207792207794,0.2597402597402599,3.1247890422077934e-01,2.8707411525974014e-01
two_step,3,0.5268940640625001,0.4915526078125001,0.7792207792207794,0.2597402597402599,2.5232671515827931e-01,2.3181234807224016e-01
two_step,4,0.5754669567304689,0.4469287308085939,0.7792207792207794,0.2597402597402599,2.0375382249031049e-01,1.8718847106833392e-01
two_step,5,0.6146895675598536,0.4108949501279396,0.7792207792207794,0.2597402597402599,1.6453121166092577e-01,1.5115469038767965e-01
two_step,6,0.6463618258045818,0.3817976722283112,0.7792207792207794,0.2597402597402599,1.3285895341619758e-01,1.2205741248805130e-01
two_step,7,0.6719371743371998,0.3583016203243614,0.7792207792207794,0.2597402597402599,1.0728360488357958e-01,9.8561360584101421e-02
two_step,8,0.6925892682772888,0.3393285584119218,0.7792207792207794,0.2597402597402599,8.6631510943490531e-02,7.9588298671661895e-02
two_step,9,0.7092658341339108,0.3240078109176269,0.7792207792207794,0.2597402597402599,6.9954945086868614e-02,6.4267551177366988e-02
two_step,10,0.7227321610631330,0.3116363073159838,0.7792207792207794,0.2597402597402599,5.6488618157646386e-02,5.1896047575723858e-02
two_step,11,0.7336062200584799,0.3016463181576570,0.7792207792207794,0.2597402597402599,4.5614559162299506e-02,4.1906058417397030e-02
two_step,12,0.7423870226972225,0.2935794019123080,0.7792207792207794,0.2597402597402599,3.6833756523556915e-02,3.3839142172048087e-02
two_step,13,0.7494775208280071,0.2870653670441888,0.7792207792207794,0.2597402597402599,2.9743258392772254e-02,2.7325107303928842e-02
two_step,14,0.7552030980686157,0.2818052838881825,0.7792207792207794,0.2597402597402599,2.4017681152163628e-02,2.2065024147922552e-02
two_step,15,0.7598265016904072,0.2775577667397074,0.7792207792207794,0.2597402597402599,1.9394277530372150e-02,1.7817506999447452e-02
two_step,16,0.7635599001150039,0.2741278966423137,0.7792207792207794,0.2597402597402599,1.5660879105775516e-02,1.4387636902053802e-02
two_step,17,0.7665746193428656,0.2713582765386684,0.7792207792207794,0.2597402597402599,1.2646159877913732e-02,1.1618016798408459e-02
two_step,18,0.7690090051193640,0.2691218083049748,0.7792207792207794,0.2597402597402599,1.0211774101415383e-02,9.3815485647148478e-03
two_step,19,0.7709747716338864,0.2673158602062672,0.7792207792207794,0.2597402597402599,8.2460075868929783e-03,7.5756004660072485e-03
two_step,20,0.7725621280943633,0.2658575571165608,0.7792207792207794,0.2597402597402599,6.6586511264160597e-03,6.1172973763008454e-03
two_step,21,0.7738439184361984,0.2646799773716229,0.7792207792207794,0.2597402597402599,5.3768607845809946e-03,4.9397176313629165e-03
two_step,22,0.7748789641372302,0.2637290817275855,0.7792207792207794,0.2597402597402599,4.3418150835491387e-03,3.9888219873255304e-03
two_step,23,0.7757147635408135,0.2629612334950253,0.7792207792207794,0.2597402597402599,3.5060156799658904e-03,3.2209737547653772e-03
two_step,24,0.7763896715592069,0.2623411960472330,0.7792207792207794,0.2597402597402599,2.8311076615724629e-03,2.6009363069730562e-03
two_step,25,0.7769346597840596,0.2618405158081407,0.7792207792207794,0.2597402597402599,2.2861194367197468e-03,2.1002560678807791e-03
two_step,26,0.7773747377756282,0.2614362165150736,0.7792207792207794,0.2597402597402599,1.8460414451512142e-03,1.6959567748137117e-03
two_step,27,0.7777301007538198,0.2611097448359220,0.7792207792207794,0.2597402597402599,1.4906784669596052e-03,1.3694850956620375e-03
two_step,28,0.7780170563587094,0.2608461189550070,0.7792207792207794,0.2597402597402599,1.2037228620699336e-03,1.1058592147470958e-03
two_step,29,0.7782487730096579,0.2606332410561683,0.7792207792207794,0.2597402597402599,9.7200621112147889e-04,8.9298131590831442e-04
two_step,30,0.7784358842052987,0.2604613421528559,0.7792207792207794,0.2597402597402599,7.8489501548062446e-04,7.2108241259594141e-04
